sample_id,quality,ground_truth_type,predicted_type,document_type_correct,all_fields_exact,all_fields_normalized,critical_fields_correct,document_correct_normalized,mismatch_fields,review_decision,review_priority,review_reason_codes,anomaly_codes,false_auto_accept,safe_escalation,runtime_seconds
guard_001,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,18.3008
sia_001,clean,sia_badge,sia_badge,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,19.0369
id_001,clean,id_card,id_card,True,False,False,True,False,date_of_birth,REVIEW_REQUIRED,MEDIUM,EXTRACTED_FIELD_INVALID_EVIDENCE,EXTRACTED_FIELD_INVALID_EVIDENCE,False,True,19.5642
sia_002,clean,sia_badge,sia_badge,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,30.9802
sia_003,clean,sia_badge,sia_badge,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,45.2972
sia_004,clean,sia_badge,sia_badge,True,False,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,17.9535
sia_005,clean,sia_badge,sia_badge,True,False,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,16.6861
sia_006,clean,sia_badge,sia_badge,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,19.8254
sia_007,clean,sia_badge,sia_badge,True,False,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,18.163
sia_008,clean,sia_badge,sia_badge,True,False,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,18.681
sia_009,clean,sia_badge,sia_badge,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,17.499
sia_010,clean,sia_badge,sia_badge,True,False,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,17.64
sia_011,clean,sia_badge,sia_badge,True,False,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,18.1858
sia_012,clean,sia_badge,sia_badge,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,18.4034
sia_013,clean,sia_badge,sia_badge,True,False,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,19.211
sia_014,clean,sia_badge,sia_badge,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,19.0622
sia_015,clean,sia_badge,sia_badge,True,False,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,18.1259
sia_016,clean,sia_badge,sia_badge,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,18.5992
sia_017,clean,sia_badge,sia_badge,True,False,True,True,True,,REVIEW_REQUIRED,LOW,DOCUMENT_EXPIRING_SOON,DOCUMENT_EXPIRING_SOON,False,False,19.2527
sia_018,clean,sia_badge,sia_badge,True,False,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,20.4253
sia_019,clean,sia_badge,sia_badge,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,18.0946
sia_020,clean,sia_badge,sia_badge,True,False,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,18.509
sia_021,clean,sia_badge,sia_badge,True,False,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,18.7435
guard_002,clean,guard_license,guard_license,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,24.7873
guard_003,clean,guard_license,guard_license,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,25.7613
guard_004,clean,guard_license,guard_license,True,False,False,False,False,expiry_date|date_of_birth|issue_date,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,True,25.7532
